"ID"	"Name"	"RA"	"DEC"	"Obj. Type"	"Redshift"	"Host Name"	"Host Redshift"	"Discovering Group/s"	"Classifying Group/s"	"Associated Group/s"	"Disc. Internal Name"	"Disc. Instrument/s"	"Class. Instrument/s"	"TNS AT"	"Public"	"End Prop. Period"	"Discovery Mag"	"Discovery Mag Filter"	"Discovery Date (UT)"	"Sender"	"Ext. catalog/s"
"17389"	"SN 2017mw"	"09:57:20.970"	"-41:35:20.98"	"SN IIb"	"0.012"	""	""	"GaiaAlerts"	"ePESSTO"	"GaiaAlerts"	"Gaia17afb"	"Gaia - Gaia-photometric"	"ESO-NTT - EFOSC2-NTT"	"1"	"1"	""	"17.12"	"G-Gaia"	"2017-01-20 09:11:31"	"Gaia_Bot1"	""
"17387"	"SN 2017mu"	"09:30:36.580"	"+21:24:42.32"	"SN Ia"	"0.0815"	"GALEXASC J093036.72+212437.4"	""	"PTSS, Pan-STARRS1"	"PTSS"	"Pan-STARRS1; PTSS"	"PTSS-17dgm"	"CNEOST - STA1600, PS1 - GPC1"	"Lijiang-2.4m - YFOSC"	"1"	"1"	""	"18.9"	"r-Sloan"	"2017-01-21 18:24:25"	"Li"	""
"17386"	"SN 2017mt"	"09:59:44.710"	"+27:38:55.44"	"SN Ia"	"0.096"	"SDSS J095944.71+273852.3"	""	"PTSS, Pan-STARRS1"	"PTSS"	"Pan-STARRS1; PTSS"	""	"CNEOST - STA1600, PS1 - GPC1"	"Lijiang-2.4m - YFOSC"	"1"	"1"	""	"18.9"	"r-Sloan"	"2017-01-21 18:14:14"	"Li"	""
"17385"	"SN 2017ms"	"10:26:42.370"	"+36:40:50.62"	"SN Ia"	"0.0246"	"SDSS J102641.99+364053.2"	"0.0245"	"PTSS, GaiaAlerts, Pan-STARRS1"	"PTSS, Padova-Asiago"	"GaiaAlerts; Pan-STARRS1; PTSS"	"PTSS-17dfc"	"CNEOST - STA1600, Gaia - Gaia-photometric, PS1 - GPC1"	"Lijiang-2.4m - YFOSC, Ekar - AFOSC"	"1"	"1"	""	"16.5"	"r-Sloan"	"2017-01-21 17:02:24"	"Wang"	""
"17372"	"SN 2017mf"	"14:16:31.000"	"+39:35:12.02"	"SN Ia"	"0.0257"	"NGC5541"	""	"ISSP, GaiaAlerts"	"Padova-Asiago"	"GaiaAlerts; ISSP"	""	"Other - Other, Gaia - Gaia-photometric"	"Lijiang-2.4m - YFOSC, Ekar - AFOSC"	"1"	"1"	""	"16.2"	"Clear-"	"2017-01-21 02:07:00"	"Briganti"	""
"17371"	"SN 2017me"	"11:27:54.518"	"+27:20:44.79"	"SN Ia"	"0.033"	""	""	"ATLAS, Pan-STARRS1"	"ePESSTO"	"ATLAS; Pan-STARRS1"	"ATLAS17ajs"	"ATLAS1 - ACAM1, PS1 - GPC1"	"ESO-NTT - EFOSC2-NTT"	"1"	"1"	""	"17.67"	"orange-ATLAS"	"2017-01-20 14:06:43"	"ATLAS_Bot1"	""
"17363"	"SN 2017lw"	"00:33:51.248"	"-42:37:06.13"	"SN Ia"	"0.186"	""	""	"DES"	"PESSTO"	"DES"	"DES16E1gfm"	"Other - Other"	"ESO-NTT - EFOSC2-NTT"	"1"	"1"	""	"21.124"	"r-Sloan"	"2017-01-06 02:24:00"	"Smith"	""
"17362"	"SN 2017lv"	"11:44:26.543"	"-28:27:27.22"	"SN Ia"	"0.029"	""	""	"ATLAS"	"ePESSTO"	"ATLAS"	"ATLAS17ajn"	"ATLAS1 - ACAM1"	"ESO-NTT - EFOSC2-NTT"	"1"	"1"	""	"18.28"	"orange-ATLAS"	"2017-01-14 15:01:26"	"ATLAS_Bot1"	""
"17360"	"SN 2017lt"	"14:19:44.200"	"-16:50:15.76"	"SN II"	"0.043"	""	""	"GaiaAlerts, Pan-STARRS1"	"ePESSTO"	"GaiaAlerts; Pan-STARRS1"	"Gaia17aei"	"Gaia - Gaia-photometric, PS1 - GPC1"	"ESO-NTT - EFOSC2-NTT"	"1"	"1"	""	"18.3"	"G-Gaia"	"2017-01-17 06:18:43"	"Gaia_Bot1"	""
"17353"	"SN 2017ln"	"11:38:33.778"	"+25:23:46.86"	"SN Ia"	"0.025"	"2MASX J11383367+2523532"	"0.025356"	"ASAS-SN, iPTF, Pan-STARRS1"	"PESSTO"	"ASAS-SN; iPTF; Pan-STARRS1"	"ASASSN-17at"	"ASASSN-1 - Brutus, P48 - CFH12k, PS1 - GPC1"	"ESO-NTT - EFOSC2-NTT"	"1"	"1"	""	"16.7"	"V-Johnson"	"2017-01-19 12:57:36"	"Stanek"	""
