freq : 100.00 MHz
SWR : 1.965000
 Theta 	 Phi 	 Gain(dB)     	   Gain     	    Phase(deg)
150 	 75 	 -300.0     	   1e-30     	    -30.69675
150 	 90 	 -300.0     	   1e-30     	    -30.74114
150 	 105 	 -300.0     	   1e-30     	    -30.79946
150 	 120 	 -300.0     	   1e-30     	    -30.86807
150 	 135 	 -300.0     	   1e-30     	    -30.94253
150 	 150 	 -300.0     	   1e-30     	    -31.01789
150 	 165 	 -300.0     	   1e-30     	    -31.08892
150 	 180 	 -300.0     	   1e-30     	    -31.15056
150 	 195 	 -300.0     	   1e-30     	    -31.19827
150 	 210 	 -300.0     	   1e-30     	    -31.22844
150 	 225 	 -300.0     	   1e-30     	    -31.23876
150 	 240 	 -300.0     	   1e-30     	    -31.22844
150 	 255 	 -300.0     	   1e-30     	    -31.19827
150 	 270 	 -300.0     	   1e-30     	    -31.15056
150 	 285 	 -300.0     	   1e-30     	    -31.08892
150 	 300 	 -300.0     	   1e-30     	    -31.01788
150 	 315 	 -300.0     	   1e-30     	    -30.94253
150 	 330 	 -300.0     	   1e-30     	    -30.86806
150 	 345 	 -300.0     	   1e-30     	    -30.79946
150 	 360 	 -300.0     	   1e-30     	    -30.74114
165 	 0 	 -300.0     	   1e-30     	    -30.56358
165 	 15 	 -300.0     	   1e-30     	    -30.48317
165 	 30 	 -300.0     	   1e-30     	    -30.43334
165 	 45 	 -300.0     	   1e-30     	    -30.41646
165 	 60 	 -300.0     	   1e-30     	    -30.43334
165 	 75 	 -300.0     	   1e-30     	    -30.48317
165 	 90 	 -300.0     	   1e-30     	    -30.56358
165 	 105 	 -300.0     	   1e-30     	    -30.67052
165 	 120 	 -300.0     	   1e-30     	    -30.79823
165 	 135 	 -300.0     	   1e-30     	    -30.93925
165 	 150 	 -300.0     	   1e-30     	    -31.08457
165 	 165 	 -300.0     	   1e-30     	    -31.22403
165 	 180 	 -300.0     	   1e-30     	    -31.34705
165 	 195 	 -300.0     	   1e-30     	    -31.44357
165 	 210 	 -300.0     	   1e-30     	    -31.50521
165 	 225 	 -300.0     	   1e-30     	    -31.52641
165 	 240 	 -300.0     	   1e-30     	    -31.50521
165 	 255 	 -300.0     	   1e-30     	    -31.44357
165 	 270 	 -300.0     	   1e-30     	    -31.34705
165 	 285 	 -300.0     	   1e-30     	    -31.22403
165 	 300 	 -300.0     	   1e-30     	    -31.08457
165 	 315 	 -300.0     	   1e-30     	    -30.93925
165 	 330 	 -300.0     	   1e-30     	    -30.79823
165 	 345 	 -300.0     	   1e-30     	    -30.67052
165 	 360 	 -300.0     	   1e-30     	    -30.56358
180 	 0 	 -300.0     	   1e-30     	    -22.30855
180 	 15 	 -300.0     	   1e-30     	    -22.30837
180 	 30 	 -300.0     	   1e-30     	    -22.30825
180 	 45 	 -300.0     	   1e-30     	    -22.30813
180 	 60 	 -300.0     	   1e-30     	    -22.30802
180 	 75 	 -300.0     	   1e-30     	    -22.30788
