"frequency";"r S21_dB";"i S21_dB"
6.51628e+07;43.5886;0
6.61249e+07;43.6063;0
6.71011e+07;43.6241;0
6.80918e+07;43.6421;0
6.90971e+07;43.6603;0
7.01172e+07;43.6771;0
7.11524e+07;43.6818;0
7.22029e+07;43.6865;0
7.32688e+07;43.6912;0
7.43506e+07;43.696;0
7.54482e+07;43.7007;0
7.65621e+07;43.7054;0
7.76925e+07;43.7102;0
7.88395e+07;43.7149;0
8.00035e+07;43.7196;0
8.11846e+07;43.715;0
8.23832e+07;43.7102;0
8.35995e+07;43.7052;0
8.48337e+07;43.7001;0
8.60862e+07;43.6948;0
8.73571e+07;43.6894;0
8.86468e+07;43.6837;0
8.99556e+07;43.6779;0
9.12837e+07;43.6789;0
9.26313e+07;43.68;0
9.39989e+07;43.6811;0
9.53867e+07;43.6819;0
9.67949e+07;43.6826;0
9.8224e+07;43.6832;0
9.96741e+07;43.6836;0
1.01146e+08;43.6815;0
1.02639e+08;43.6785;0
1.04154e+08;43.6752;0
1.05692e+08;43.6717;0
1.07252e+08;43.6678;0
1.08836e+08;43.6636;0
1.10443e+08;43.6567;0
1.12073e+08;43.6434;0
1.13728e+08;43.6296;0
1.15407e+08;43.6152;0
1.17111e+08;43.6002;0
1.1884e+08;43.5845;0
1.20594e+08;43.5714;0
1.22375e+08;43.5638;0
1.24181e+08;43.5555;0
1.26015e+08;43.5466;0
1.27875e+08;43.5369;0
1.29763e+08;43.5264;0
1.31679e+08;43.5098;0
1.33623e+08;43.4915;0
1.35596e+08;43.472;0
1.37598e+08;43.4514;0
1.39629e+08;43.4296;0
1.4169e+08;43.396;0
1.43782e+08;43.3584;0
1.45905e+08;43.3191;0
1.48059e+08;43.2779;0
1.50245e+08;43.2362;0
1.52463e+08;43.2063;0
1.54714e+08;43.1741;0
1.56998e+08;43.1396;0
1.59316e+08;43.1024;0
1.61668e+08;43.0663;0
1.64055e+08;43.0286;0
1.66477e+08;42.9876;0
1.68935e+08;42.9427;0
1.71429e+08;42.8906;0
1.7396e+08;42.8314;0
1.76528e+08;42.767;0
1.79134e+08;42.6967;0
1.81779e+08;42.6198;0
1.84463e+08;42.5355;0
1.87186e+08;42.4428;0
1.8995e+08;42.3406;0
1.92754e+08;42.2131;0
1.956e+08;42.0727;0
1.98488e+08;41.918;0
2.01418e+08;41.7445;0
2.04392e+08;41.5496;0
2.07409e+08;41.3325;0
2.10471e+08;41.0911;0
2.13579e+08;40.8287;0
2.16732e+08;40.5305;0
2.19932e+08;40.1898;0
2.23179e+08;39.8073;0
2.26474e+08;39.3636;0
2.29817e+08;38.8455;0
2.3321e+08;38.233;0
2.36653e+08;37.5093;0
2.40147e+08;36.6519;0
2.43692e+08;35.6479;0
