"frequency";"r S21_dB";"i S21_dB"
1.27875e+08;43.7888;0
1.29763e+08;43.787;0
1.31679e+08;43.7795;0
1.33623e+08;43.7706;0
1.35596e+08;43.761;0
1.37598e+08;43.7507;0
1.39629e+08;43.7395;0
1.4169e+08;43.7171;0
1.43782e+08;43.6912;0
1.45905e+08;43.6641;0
1.48059e+08;43.6356;0
1.50245e+08;43.6073;0
1.52463e+08;43.5911;0
1.54714e+08;43.5734;0
1.56998e+08;43.5539;0
1.59316e+08;43.5326;0
1.61668e+08;43.5132;0
1.64055e+08;43.493;0
1.66477e+08;43.4703;0
1.68935e+08;43.4446;0
1.71429e+08;43.4126;0
1.7396e+08;43.3745;0
1.76528e+08;43.332;0
1.79134e+08;43.2845;0
1.81779e+08;43.2316;0
1.84463e+08;43.1722;0
1.87186e+08;43.1053;0
1.8995e+08;43.0296;0
1.92754e+08;42.9296;0
1.956e+08;42.8174;0
1.98488e+08;42.6911;0
2.01418e+08;42.5464;0
2.04392e+08;42.3799;0
2.07409e+08;42.1906;0
2.10471e+08;41.9756;0
2.13579e+08;41.7374;0
2.16732e+08;41.4602;0
2.19932e+08;41.1359;0
2.23179e+08;40.7633;0
2.26474e+08;40.3214;0
2.29817e+08;39.7942;0
2.3321e+08;39.159;0
2.36653e+08;38.3958;0
2.40147e+08;37.4787;0
2.43692e+08;36.3918;0
2.4729e+08;35.11;0
2.50941e+08;33.6684;0
2.54646e+08;32.2523;0
2.58406e+08;31.3555;0
2.62221e+08;31.5105;0
2.66092e+08;32.6187;0
2.7002e+08;34.0961;0
2.74007e+08;35.5502;0
2.78052e+08;36.8247;0
2.82157e+08;37.9045;0
2.86323e+08;38.8085;0
2.9055e+08;39.5609;0
2.9484e+08;40.1926;0
2.99193e+08;40.7213;0
3.0361e+08;41.1656;0
3.08092e+08;41.5413;0
3.12641e+08;41.849;0
3.17257e+08;42.102;0
3.2194e+08;42.3123;0
3.26693e+08;42.4844;0
3.31517e+08;42.6344;0
3.36411e+08;42.7719;0
3.41378e+08;42.8944;0
3.46418e+08;43.0109;0
3.51532e+08;43.1145;0
3.56722e+08;43.2074;0
3.61988e+08;43.2976;0
3.67333e+08;43.3911;0
3.72756e+08;43.4611;0
3.78259e+08;43.5088;0
3.83844e+08;43.5348;0
3.89511e+08;43.5483;0
3.95261e+08;43.583;0
4.01097e+08;43.6179;0
4.07018e+08;43.6552;0
4.13028e+08;43.6879;0
4.19125e+08;43.7163;0
4.25313e+08;43.7494;0
4.31592e+08;43.7768;0
4.37964e+08;43.7877;0
4.4443e+08;43.7788;0
4.50992e+08;43.7645;0
4.5765e+08;43.7754;0
4.64406e+08;43.8008;0
4.71263e+08;43.8328;0
4.7822e+08;43.8595;0
4.85281e+08;43.9029;0
4.92445e+08;43.9369;0
4.99716e+08;43.9415;0
5.07093e+08;43.9094;0
5.1458e+08;43.8898;0
5.22177e+08;43.884;0
5.29886e+08;43.8901;0
5.37709e+08;43.88;0
5.45648e+08;43.8928;0
5.53703e+08;43.9199;0
5.61878e+08;43.9399;0
5.70174e+08;43.917;0
5.78591e+08;43.9118;0
5.87134e+08;43.9289;0
5.95802e+08;43.9277;0
6.04598e+08;43.9182;0
6.13524e+08;43.9131;0
6.22582e+08;43.901;0
6.31774e+08;43.8657;0
6.41101e+08;43.8389;0
6.50566e+08;43.838;0
6.60171e+08;43.8275;0
6.69917e+08;43.823;0
6.79808e+08;43.8236;0
6.89844e+08;43.7882;0
7.00029e+08;43.7685;0
7.10364e+08;43.7824;0
7.20851e+08;43.7811;0
7.31494e+08;43.7677;0
7.42293e+08;43.7454;0
7.53252e+08;43.7126;0
7.64373e+08;43.6943;0
7.75658e+08;43.6965;0
7.87109e+08;43.6939;0
7.9873e+08;43.689;0
8.10522e+08;43.647;0
8.22489e+08;43.6309;0
8.34631e+08;43.648;0
8.46954e+08;43.6489;0
8.59458e+08;43.6409;0
8.72147e+08;43.6143;0
8.85023e+08;43.5883;0
8.98089e+08;43.6192;0
9.11348e+08;43.6295;0
9.24803e+08;43.5785;0
9.38456e+08;43.5133;0
9.52311e+08;43.4889;0
9.66371e+08;43.5025;0
9.80638e+08;43.4983;0
9.95116e+08;43.4445;0
1.00981e+09;43.3997;0
1.02472e+09;43.4167;0
1.03984e+09;43.418;0
1.0552e+09;43.3415;0
1.07078e+09;43.284;0
1.08658e+09;43.2988;0
1.10263e+09;43.3084;0
1.1189e+09;43.2444;0
1.13542e+09;43.2007;0
1.15219e+09;43.223;0
1.1692e+09;43.2213;0
1.18646e+09;43.1425;0
1.20398e+09;43.1067;0
1.22175e+09;43.1326;0
1.23979e+09;43.104;0
1.25809e+09;43.0951;0
1.27667e+09;43.1192;0
1.29551e+09;43.0885;0
1.31464e+09;43.0244;0
1.33405e+09;43;0
1.35375e+09;42.9987;0
1.37373e+09;42.9334;0
1.39401e+09;42.9116;0
1.41459e+09;42.9162;0
1.43548e+09;42.8453;0
1.45667e+09;42.8249;0
1.47818e+09;42.8159;0
1.5e+09;42.771;0
