"frequency";"r S21_phase";"i S21_phase"
9.96741e+07;-197.547;0
1.01146e+08;-197.842;0
1.02639e+08;-198.154;0
1.04154e+08;-198.472;0
1.05692e+08;-198.797;0
1.07252e+08;-199.129;0
1.08836e+08;-199.469;0
1.10443e+08;-199.806;0
1.12073e+08;-200.121;0
1.13728e+08;-200.445;0
1.15407e+08;-200.776;0
1.17111e+08;-201.115;0
1.1884e+08;-201.462;0
1.20594e+08;-201.808;0
1.22375e+08;-202.144;0
1.24181e+08;-202.489;0
1.26015e+08;-202.843;0
1.27875e+08;-203.207;0
1.29763e+08;-203.581;0
1.31679e+08;-204.01;0
1.33623e+08;-204.456;0
1.35596e+08;-204.915;0
1.37598e+08;-205.386;0
1.39629e+08;-205.871;0
1.4169e+08;-206.323;0
1.43782e+08;-206.78;0
1.45905e+08;-207.25;0
1.48059e+08;-207.735;0
1.50245e+08;-208.235;0
1.52463e+08;-208.749;0
1.54714e+08;-209.28;0
1.56998e+08;-209.829;0
1.59316e+08;-210.397;0
1.61668e+08;-211.053;0
1.64055e+08;-211.76;0
1.66477e+08;-212.49;0
1.68935e+08;-213.245;0
1.71429e+08;-213.998;0
1.7396e+08;-214.755;0
1.76528e+08;-215.541;0
1.79134e+08;-216.357;0
1.81779e+08;-217.201;0
1.84463e+08;-218.076;0
1.87186e+08;-218.985;0
1.8995e+08;-219.932;0
1.92754e+08;-220.951;0
1.956e+08;-222.012;0
1.98488e+08;-223.115;0
2.01418e+08;-224.233;0
2.04392e+08;-225.364;0
2.07409e+08;-226.535;0
2.10471e+08;-227.739;0
2.13579e+08;-228.943;0
2.16732e+08;-230.171;0
2.19932e+08;-231.409;0
2.23179e+08;-232.713;0
2.26474e+08;-233.971;0
2.29817e+08;-235.123;0
2.3321e+08;-236.033;0
2.36653e+08;-236.597;0
2.40147e+08;-236.577;0
2.43692e+08;-235.577;0
2.4729e+08;-232.918;0
2.50941e+08;-227.529;0
2.54646e+08;-218.011;0
2.58406e+08;-203.76;0
2.62221e+08;-187.78;0
2.66092e+08;-175.273;0
2.7002e+08;-168.185;0
2.74007e+08;-165.422;0
2.78052e+08;-165.538;0
2.82157e+08;-167.484;0
2.86323e+08;-170.58;0
2.9055e+08;-174.37;0
2.9484e+08;-178.554;0
2.99193e+08;-182.982;0
3.0361e+08;-187.558;0
3.08092e+08;-192.204;0
3.12641e+08;-196.901;0
3.17257e+08;-201.63;0
3.2194e+08;-206.353;0
3.26693e+08;-211.056;0
3.31517e+08;-215.729;0
3.36411e+08;-220.311;0
3.41378e+08;-224.721;0
3.46418e+08;-228.763;0
3.51532e+08;-232.017;0
3.56722e+08;-233.709;0
3.61988e+08;-232.335;0
3.67333e+08;-224.875;0
3.72756e+08;-207.681;0
3.78259e+08;-185.53;0
3.83844e+08;-171.324;0
3.89511e+08;-166.528;0
3.95261e+08;-167.228;0
4.01097e+08;-170.976;0
4.07018e+08;-176.655;0
4.13028e+08;-183.663;0
4.19125e+08;-191.759;0
4.25313e+08;-200.756;0
4.31592e+08;-210.196;0
4.37964e+08;-218.972;0
4.4443e+08;-224.518;0
4.50992e+08;-222.083;0
4.5765e+08;-204.331;0
4.64406e+08;-177.824;0
4.71263e+08;-162.885;0
4.7822e+08;-158.023;0
4.85281e+08;-157.507;0
4.92445e+08;-158.797;0
4.99716e+08;-160.909;0
5.07093e+08;-163.171;0
5.1458e+08;-165.352;0
5.22177e+08;-167.404;0
5.29886e+08;-169.352;0
5.37709e+08;-171.316;0
5.45648e+08;-173.175;0
5.53703e+08;-175.029;0
5.61878e+08;-176.925;0
5.70174e+08;-178.798;0
5.78591e+08;-180.463;0
5.87134e+08;-182.043;0
5.95802e+08;-183.528;0
6.04598e+08;-184.92;0
6.13524e+08;-186.273;0
6.22582e+08;-187.66;0
6.31774e+08;-189.058;0
6.41101e+08;-190.351;0
6.50566e+08;-191.61;0
6.60171e+08;-192.82;0
6.69917e+08;-193.949;0
6.79808e+08;-195.165;0
6.89844e+08;-196.469;0
7.00029e+08;-197.679;0
7.10364e+08;-198.904;0
7.20851e+08;-200.054;0
7.31494e+08;-200.986;0
7.42293e+08;-202.023;0
7.53252e+08;-203.085;0
7.64373e+08;-204.168;0
7.75658e+08;-205.323;0
7.87109e+08;-206.343;0
7.9873e+08;-207.425;0
8.10522e+08;-208.543;0
8.22489e+08;-209.617;0
8.34631e+08;-210.735;0
8.46954e+08;-211.701;0
8.59458e+08;-212.609;0
8.72147e+08;-213.623;0
8.85023e+08;-214.616;0
8.98089e+08;-215.819;0
9.11348e+08;-216.938;0
9.24803e+08;-218.042;0
9.38456e+08;-218.993;0
9.52311e+08;-220.009;0
9.66371e+08;-221.076;0
9.80638e+08;-222.032;0
9.95116e+08;-223.016;0
1.00981e+09;-224.035;0
1.02472e+09;-225.206;0
1.03984e+09;-226.295;0
1.0552e+09;-227.303;0
1.07078e+09;-228.344;0
1.08658e+09;-229.497;0
1.10263e+09;-230.534;0
1.1189e+09;-231.434;0
1.13542e+09;-232.464;0
1.15219e+09;-233.781;0
1.1692e+09;-235.005;0
1.18646e+09;-235.865;0
1.20398e+09;-236.939;0
1.22175e+09;-238.084;0
1.23979e+09;-239.257;0
1.25809e+09;-240.324;0
1.27667e+09;-241.546;0
1.29551e+09;-242.711;0
1.31464e+09;-243.829;0
1.33405e+09;-244.956;0
1.35375e+09;-246.199;0
1.37373e+09;-247.326;0
1.39401e+09;-248.462;0
1.41459e+09;-249.729;0
1.43548e+09;-250.936;0
1.45667e+09;-252.097;0
1.47818e+09;-253.377;0
1.5e+09;-254.612;0
