"frequency";"r S21_phase";"i S21_phase"
7.20851e+08;-207.75;0
7.31494e+08;-208.465;0
7.42293e+08;-209.293;0
7.53252e+08;-210.151;0
7.64373e+08;-211.036;0
7.75658e+08;-212.002;0
7.87109e+08;-212.847;0
7.9873e+08;-213.76;0
8.10522e+08;-214.71;0
8.22489e+08;-215.615;0
8.34631e+08;-216.577;0
8.46954e+08;-217.408;0
8.59458e+08;-218.196;0
8.72147e+08;-219.082;0
8.85023e+08;-219.932;0
8.98089e+08;-220.989;0
9.11348e+08;-221.987;0
9.24803e+08;-222.99;0
9.38456e+08;-223.839;0
9.52311e+08;-224.738;0
9.66371e+08;-225.691;0
9.80638e+08;-226.552;0
9.95116e+08;-227.453;0
1.00981e+09;-228.372;0
1.02472e+09;-229.433;0
1.03984e+09;-230.435;0
1.0552e+09;-231.375;0
1.07078e+09;-232.336;0
1.08658e+09;-233.389;0
1.10263e+09;-234.349;0
1.1189e+09;-235.192;0
1.13542e+09;-236.143;0
1.15219e+09;-237.368;0
1.1692e+09;-238.524;0
1.18646e+09;-239.337;0
1.20398e+09;-240.346;0
1.22175e+09;-241.411;0
1.23979e+09;-242.52;0
1.25809e+09;-243.528;0
1.27667e+09;-244.688;0
1.29551e+09;-245.803;0
1.31464e+09;-246.869;0
1.33405e+09;-247.931;0
1.35375e+09;-249.119;0
1.37373e+09;-250.202;0
1.39401e+09;-251.288;0
1.41459e+09;-252.503;0
1.43548e+09;-253.664;0
1.45667e+09;-254.775;0
1.47818e+09;-256.008;0
1.5e+09;-257.202;0
