"Source Name","Association","RA","Dec","Classification (code)","TEV Cat","TEV Association","Classification","Light Curve(Likelihood)","Spectrum","DataAccess"
"3FGL J0834.5-4825",,"128.634","-48.4224",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0834.6+6101",,"128.674","61.0216",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0834.7+4403","B3 0831+442","128.689","44.0604","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0835.3-4510","PSR J0835-4510","128.838","-45.1783","PSR","P","Vela Pulsar","Pulsar","Link","Link","Link"
"3FGL J0835.4+0930","GB6 J0835+0936","128.865","9.51","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0836.3+2143","MG2 J083615+2138","129.09","21.7183","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0836.5-2020","PKS 0834-20","129.141","-20.3441","fsrq","N",,"FSRQ","Link","Link","Link"
"3FGL J0838.1-4615",,"129.546","-46.2628","spp","N",,"SNR/PWN","Link","Link","Link"
"3FGL J0838.8-2829",,"129.704","-28.4892",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0838.9-4056c",,"129.745","-40.9378",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0839.1-4739",,"129.777","-47.6626","spp","N",,"SNR/PWN","Link","Link","Link"
"3FGL J0839.5+0102","PKS 0837+012","129.89","1.038","fsrq","N",,"FSRQ","Link","Link","Link"
"3FGL J0839.6+3538","FIRST J083943.3+354001","129.912","35.6387","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0839.6-4133",,"129.92","-41.5555",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0839.6+1803","TXS 0836+182","129.923","18.0589","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0840.8+1315","3C 207","130.21","13.2526","ssrq","N",,"Soft spectrum radio quasar","Link","Link","Link"
"3FGL J0841.3-3554","NVSS J084121-355506","130.335","-35.9051","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0841.4+7053","S5 0836+71","130.373","70.8972","FSRQ","N",,"FSRQ","Link","Link","Link"
"3FGL J0842.0-6055","PMN J0842-6053","130.52","-60.928","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0843.1-4546",,"130.795","-45.7743","spp","N",,"SNR/PWN","Link","Link","Link"
"3FGL J0843.4+6713",,"130.859","67.2181",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0843.9+5311","NVSS J084411+531250","130.992","53.1989","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0844.3-4741",,"131.082","-47.684",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0845.1-5458","PMN J0845-5458","131.297","-54.9736","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0846.7-0651","TXS 0845-068","131.678","-6.8581","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0846.8-2638",,"131.716","-26.6498",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0846.9-2336","PMN J0847-2337","131.75","-23.604","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0847.1+1134","RX J0847.1+1133","131.788","11.5684","bll","P","RBS 0723","BL LAC","Link","Link","Link"
"3FGL J0847.2-6936",,"131.808","-69.613",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0847.4-4327",,"131.863","-43.4587",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0848.2-4524",,"132.071","-45.4129",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0848.5+7018",,"132.131","70.3008",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0849.1+6607","GB6 J0848+6605","132.297","66.1266","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0849.3+0458","TXS 0846+051","132.325","4.9799","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0849.5-2912","NVSS J084922-291149","132.391","-29.2032","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0849.9-3540","PMN J0849-3541","132.482","-35.6789","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0849.9+5108","SBS 0846+513","132.482","51.1445","NLSY1","N",,"Narrow line Seyfert 1","Link","Link","Link"
"3FGL J0850.0+4855","GB6 J0850+4855","132.52","48.9197","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0850.2-1214","PMN J0850-1213","132.557","-12.234","fsrq","N",,"FSRQ","Link","Link","Link"
"3FGL J0850.2+3500","RX J0850.5+3455","132.566","35.0006","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0851.4-4244",,"132.865","-42.7478",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0851.8+5531","SDSS J085135.93+552834.5","132.956","55.5252","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0852.6-5756","PMN J0852-5755","133.171","-57.9461","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0852.7-4631e","Vela Jr","133.2","-46.52","SNR","E","RX J0852.0-4622","Supernova remnant","Link","Link","Link"
"3FGL J0853.0-3654","NVSS J085310-365820","133.273","-36.9134","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0854.2+4408","B3 0850+443","133.573","44.1453","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0854.4-4404",,"133.62","-44.0765",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0854.8+2006","OJ 287","133.7","20.1121","BLL","N",,"BL LAC","Link","Link","Link"
"3FGL J0854.8-4503",,"133.711","-45.0616",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0855.2-0718","PKS 0852-07","133.809","-7.3077","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0855.4-4818",,"133.855","-48.3163",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0855.4+7142",,"133.861","71.7123",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0856.4+6429",,"134.11","64.4846",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0856.5+2057","TXS 0853+211","134.15","20.9585","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0856.7-1105","PMN J0856-1105","134.18","-11.0862","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0857.6-4258",,"134.409","-42.9824",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0858.0-4834",,"134.519","-48.5691",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0858.1-1951","PKS 0855-19","134.541","-19.8551","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0858.1-3130","1RXS J085802.6-313043","134.546","-31.5126","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0858.6-4357",,"134.657","-43.9582",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0859.1+6219","1RXS J085930.5+621737","134.791","62.321","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0859.3-4732",,"134.847","-47.5492",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0900.0+6754",,"135.022","67.9137",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0901.0-6725",,"135.262","-67.4256",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0901.6-4700",,"135.405","-47.0013",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0902.4+2050","NVSS J090226+205045","135.622","20.8474","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0903.0-4826",,"135.763","-48.4496",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0903.1+4649","S4 0859+47","135.799","46.8202","fsrq","N",,"FSRQ","Link","Link","Link"
"3FGL J0903.2-4744",,"135.814","-47.7429",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0904.3+4240","S4 0900+42","136.088","42.6825","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0904.8-5734","PKS 0903-57","136.218","-57.5705","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0904.8-3516","NVSS J090442-351423","136.224","-35.2761","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0904.9+2739","GB6 J0905+2748A","136.227","27.661","fsrq","N",,"FSRQ","Link","Link","Link"
"3FGL J0905.5+1358","MG1 J090534+1358","136.39","13.9702","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0905.6-4917",,"136.42","-49.2959",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0905.8-2127",,"136.458","-21.4611",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0906.0-4705",,"136.506","-47.0977",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0906.3-0906","PMN J0906-0905","136.579","-9.101","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0907.0-4802",,"136.754","-48.043",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0908.4-4916","PSR J0908-4913","137.11","-49.2705","PSR","N",,"Pulsar","Link","Link","Link"
"3FGL J0909.0+2310","RX J0908.9+2311","137.267","23.167","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0909.1+0121","PKS 0906+01","137.298","1.358","fsrq","N",,"FSRQ","Link","Link","Link"
"3FGL J0909.6+0157","PKS 0907+022","137.417","1.9618","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0909.8-0229","PKS 0907-023","137.458","-2.4997","fsrq","N",,"FSRQ","Link","Link","Link"
"3FGL J0910.5+3329","Ton 1015","137.647","33.4899","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0910.7+3858","FBQS J091052.0+390202","137.689","38.9714","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0910.9+2248","TXS 0907+230","137.745","22.8035","fsrq","N",,"FSRQ","Link","Link","Link"
"3FGL J0911.8+3351","MG2 J091151+3349","137.969","33.8547","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0912.2+4126","B3 0908+416B","138.057","41.4414","fsrq","N",,"FSRQ","Link","Link","Link"
"3FGL J0912.2-6452","NGC 2808","138.071","-64.8826","glc","N",,"Globular cluster","Link","Link","Link"
"3FGL J0912.4+2800","1RXS J091211.9+275955","138.108","28.0041","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0912.6-2757","PMN J0912-2752","138.167","-27.9576","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0912.7+1556","SDSS J091230.61+155528.0","138.196","15.9343","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0912.9-2104","MRC 0910-208","138.248","-21.0771","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0914.5-4736",,"138.641","-47.6152",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0915.0+5844","SDSS J091608.57+584434.0","138.77","58.7402","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0915.8-5110",,"138.964","-51.1799",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0915.8+2933","Ton 0396","138.965","29.5604","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0916.3+3857","S4 0913+39","139.09","38.9618","fsrq","N",,"FSRQ","Link","Link","Link"
"3FGL J0917.3-0344","NVSS J091714-034315","139.347","-3.7367","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0918.2-4859",,"139.573","-48.9891",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0919.4+6604",,"139.871","66.0751",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0919.5-2200",,"139.883","-22.0054",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0920.9+4442","S4 0917+44","140.23","44.7048","fsrq","N",,"FSRQ","Link","Link","Link"
"3FGL J0921.0-2258","NVSS J092057-225721","140.252","-22.9668","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0921.6+2339",,"140.416","23.6555",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0921.8+6215","OK 630","140.453","62.2665","fsrq","N",,"FSRQ","Link","Link","Link"
"3FGL J0922.4-0529","TXS 0919-052","140.602","-5.4965","fsrq","N",,"FSRQ","Link","Link","Link"
"3FGL J0922.8-3959","PKS 0920-39","140.715","-39.9901","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0923.1+3853","B2 0920+39","140.79","38.8972","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0923.3+4127","B3 0920+416","140.846","41.4634","fsrq","N",,"FSRQ","Link","Link","Link"
"3FGL J0923.8-5154",,"140.965","-51.904",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0924.0+2816","B2 0920+28","141.002","28.2818","fsrq","N",,"FSRQ","Link","Link","Link"
"3FGL J0924.2+0534","RBS 0771","141.064","5.5771","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0925.6+5959","NVSS J092542+595812","141.404","59.9937","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0925.7+3129","B2 0922+31B","141.426","31.4927","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0926.3+5409","NVSS J092638+541126","141.58","54.1564","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0927.9-2037","PKS 0925-203","141.998","-20.6197","fsrq","N",,"FSRQ","Link","Link","Link"
"3FGL J0928.3-5255",,"142.085","-52.9234",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0928.5+4048","1RXS J092837.8+404858","142.133","40.8159","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0928.7+7300","GB6 J0929+7304","142.189","73.014","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0928.9-3530","NVSS J092849-352947","142.246","-35.5112","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0929.4+5013","GB6 J0929+5013","142.354","50.2249","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0930.0+4951","1ES 0927+500","142.522","49.8533","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0930.2+8612","S5 0916+864","142.562","86.202","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0930.7+5133",,"142.688","51.559",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0930.9-1904","PSR J0931-1902","142.732","-19.0744","PSR","N",,"Pulsar","Link","Link","Link"
"3FGL J0931.8+6739",,"142.968","67.6515",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0933.9-6232",,"143.481","-62.5338",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0934.1+3933","GB6 J0934+3926","143.549","39.5639","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0935.1-1736",,"143.787","-17.6062",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0935.2+0903",,"143.801","9.0518",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0936.3-2114",,"144.1","-21.2453",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0937.1-4544c",,"144.292","-45.7438",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0937.7+5008","GB6 J0937+5008","144.446","50.1454","fsrq","N",,"FSRQ","Link","Link","Link"
"3FGL J0937.8-6407",,"144.475","-64.122",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0937.9-1435",,"144.483","-14.5978",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0939.2-1732","TXS 0936-173","144.814","-17.5372","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0939.9-2831","TXS 0937-282","144.979","-28.5195","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0940.6-7609",,"145.164","-76.1608",,"N",,"Unassociated","Link","Link","Link"
