,electric_field_1m_V_per_m,time_s
324,-0.125765760958,1.24859373277e-07
325,-2.78379865853,1.25244741713e-07
326,-3.59145693556,1.25630110149e-07
327,-2.1382031527,1.26015478585e-07
328,0.740281951308,1.26400847021e-07
329,3.45106750613,1.26786215457e-07
330,4.54556955602,1.27171583893e-07
331,3.51048866988,1.27556952329e-07
332,1.00388171352,1.27942320765e-07
333,-1.57378359959,1.28327689202e-07
334,-2.89775137142,1.28713057638e-07
335,-2.44018644224,1.29098426074e-07
336,-0.690280648307,1.2948379451e-07
337,1.21748763045,1.29869162946e-07
338,2.20819265898,1.30254531382e-07
339,1.86875919115,1.30639899818e-07
340,0.603989442096,1.31025268254e-07
341,-0.706317759977,1.3141063669e-07
342,-1.29800722171,1.31796005126e-07
343,-0.97848072058,1.32181373562e-07
344,-0.177265346162,1.32566741998e-07
345,0.406637312296,1.32952110434e-07
346,0.303209663639,1.3333747887e-07
347,-0.419840879321,1.33722847306e-07
348,-1.23271543149,1.34108215742e-07
349,-1.53687800953,1.34493584178e-07
350,-1.10011791406,1.34878952614e-07
351,-0.234561012067,1.3526432105e-07
352,0.405690688491,1.35649689486e-07
353,0.274026786005,1.36035057922e-07
354,-0.67418249405,1.36420426358e-07
355,-1.91376248088,1.36805794794e-07
356,-2.66862387209,1.3719116323e-07
357,-2.42079215832,1.37576531667e-07
358,-1.27874585005,1.37961900103e-07
359,0.0469231697421,1.38347268539e-07
360,0.666042942472,1.38732636975e-07
361,0.0757759182635,1.39118005411e-07
362,-1.48717095199,1.39503373847e-07
363,-3.14674323142,1.39888742283e-07
364,-3.89985630055,1.40274110719e-07
365,-3.23743648152,1.40659479155e-07
366,-1.48937805279,1.41044847591e-07
367,0.334160133442,1.41430216027e-07
368,1.12798234643,1.41815584463e-07
369,0.359818817382,1.42200952899e-07
370,-1.58501044633,1.42586321335e-07
371,-3.60254984929,1.42971689771e-07
372,-4.50786775248,1.43357058207e-07
373,-3.73795031456,1.43742426643e-07
374,-1.69925247291,1.44127795079e-07
375,0.454250861464,1.44513163515e-07
376,1.48842554358,1.44898531951e-07
377,0.810398938104,1.45283900387e-07
378,-1.18224532302,1.45669268823e-07
379,-3.3314034213,1.46054637259e-07
380,-4.39170377759,1.46440005695e-07
381,-3.75012255745,1.46825374131e-07
382,-1.77074440763,1.47210742568e-07
383,0.431367540259,1.47596111004e-07
384,1.64519681037,1.4798147944e-07
385,1.25712144133,1.48366847876e-07
386,-0.421198841925,1.48752216312e-07
387,-2.36906701107,1.49137584748e-07
388,-3.47158022066,1.49522953184e-07
389,-3.15926997297,1.4990832162e-07
390,-1.69921189694,1.50293690056e-07
391,0.0144329229397,1.50679058492e-07
392,1.02015859922,1.51064426928e-07
393,0.849331765405,1.51449795364e-07
394,-0.244139149654,1.518351638e-07
395,-1.49920603821,1.52220532236e-07
396,-2.14810821982,1.52605900672e-07
397,-1.8787118829,1.52991269108e-07
398,-0.978775418903,1.53376637544e-07
399,-0.0956312004999,1.5376200598e-07
400,0.211248050926,1.54147374416e-07
401,-0.173476697551,1.54532742852e-07
402,-0.880619567087,1.54918111288e-07
403,-1.34235375763,1.55303479724e-07
404,-1.20099377688,1.5568884816e-07
405,-0.561665397788,1.56074216596e-07
406,0.0813261137656,1.56459585032e-07
407,0.194543519241,1.56844953469e-07
408,-0.404781114233,1.57230321905e-07
409,-1.38678040197,1.57615690341e-07
410,-2.09587561654,1.58001058777e-07
411,-1.97725987531,1.58386427213e-07
412,-0.968706071661,1.58771795649e-07
413,0.406514703821,1.59157164085e-07
414,1.32634918667,1.59542532521e-07
415,1.17354278129,1.59927900957e-07
416,-0.0552975194535,1.60313269393e-07
417,-1.70175450904,1.60698637829e-07
418,-2.80903922577,1.61084006265e-07
419,-2.69039969491,1.61469374701e-07
420,-1.35930634528,1.61854743137e-07
421,0.449288875445,1.62240111573e-07
422,1.69462025468,1.62625480009e-07
423,1.6436218552,1.63010848445e-07
424,0.315908950214,1.63396216881e-07
425,-1.5124088579,1.63781585317e-07
426,-2.75707040638,1.64166953753e-07
427,-2.66441492685,1.64552322189e-07
428,-1.26067321824,1.64937690625e-07
429,0.658222225119,1.65323059061e-07
430,1.99301947727,1.65708427497e-07
431,1.98769024016,1.66093795934e-07
432,0.672262850347,1.6647916437e-07
433,-1.1598696505,1.66864532806e-07
434,-2.42375937442,1.67249901242e-07
435,-2.38063325599,1.67635269678e-07
436,-1.06281885694,1.68020638114e-07
437,0.761486966396,1.6840600655e-07
438,2.05399330929,1.68791374986e-07
439,2.11828484721,1.69176743422e-07
440,0.99324506866,1.69562111858e-07
441,-0.597974097844,1.69947480294e-07
442,-1.69904541742,1.7033284873e-07
443,-1.69059716946,1.70718217166e-07
444,-0.636651536023,1.71103585602e-07
445,0.789694415515,1.71488954038e-07
446,1.73904604848,1.71874322474e-07
447,1.7016515081,1.7225969091e-07
448,0.792159847547,1.72645059346e-07
449,-0.358077437983,1.73030427782e-07
450,-1.01680498392,1.73415796218e-07
451,-0.805537414022,1.73801164654e-07
452,0.0886609632242,1.7418653309e-07
453,1.06412220003,1.74571901526e-07
454,1.50749522802,1.74957269962e-07
455,1.1842676021,1.75342638398e-07
456,0.369738890604,1.75728006835e-07
457,-0.353947082245,1.76113375271e-07
458,-0.493555825158,1.76498743707e-07
459,0.0286063646232,1.76884112143e-07
460,0.82972765757,1.77269480579e-07
461,1.33001312632,1.77654849015e-07
462,1.14976318787,1.78040217451e-07
463,0.377153381054,1.78425585887e-07
464,-0.473526311631,1.78810954323e-07
465,-0.792761268366,1.79196322759e-07
466,-0.28517437527,1.79581691195e-07
467,0.810278173291,1.79967059631e-07
468,1.84173652099,1.80352428067e-07
469,2.14329163917,1.80737796503e-07
470,1.46556269213,1.81123164939e-07
471,0.162715702965,1.81508533375e-07
472,-0.994405954557,1.81893901811e-07
473,-1.27726589793,1.82279270247e-07
474,-0.453899665782,1.82664638683e-07
475,1.04499091441,1.83050007119e-07
476,2.36146912288,1.83435375555e-07
477,2.7156454352,1.83820743991e-07
478,1.87944820747,1.84206112427e-07
479,0.329464275652,1.84591480863e-07
480,-1.02106555731,1.84976849299e-07
481,-1.35728088583,1.85362217736e-07
482,-0.447122073632,1.85747586172e-07
483,1.21566575988,1.86132954608e-07
484,2.69791144085,1.86518323044e-07
485,3.17375838609,1.8690369148e-07
486,2.40679280976,1.87289059916e-07
487,0.881844459535,1.87674428352e-07
488,-0.488821454024,1.88059796788e-07
489,-0.906027810451,1.88445165224e-07
490,-0.147282607397,1.8883053366e-07
491,1.31955026933,1.89215902096e-07
492,2.63223425134,1.89601270532e-07
493,3.05412842085,1.89986638968e-07
494,2.40306968225,1.90372007404e-07
495,1.13648069052,1.9075737584e-07
496,0.0527689605465,1.91142744276e-07
497,-0.199428737255,1.91528112712e-07
498,0.497242104213,1.91913481148e-07
499,1.68256797998,1.92298849584e-07
500,2.62341801268,1.9268421802e-07
501,2.77133767461,1.93069586456e-07
502,2.08843177497,1.93454954892e-07
503,1.04693418772,1.93840323328e-07
504,0.314709236814,1.94225691764e-07
505,0.332217546113,1.94611060201e-07
506,1.04722210965,1.94996428637e-07
507,1.96737814994,1.95381797073e-07
508,2.48776231205,1.95767165509e-07
509,2.27913876047,1.96152533945e-07
510,1.48977024512,1.96537902381e-07
