Frequency [Hz]	Log Mag [dB]	Phase [degrees]	Group Delay [s]
1.17E+09	4.11E+01	-1.54E+02	1.30E-08
1.18E+09	4.12E+01	1.72E+02	1.27E-08
1.19E+09	4.11E+01	1.37E+02	1.24E-08
1.19E+09	4.13E+01	1.04E+02	1.24E-08
1.20E+09	4.14E+01	7.00E+01	1.26E-08
1.21E+09	4.18E+01	3.50E+01	1.30E-08
1.22E+09	4.20E+01	-1.53E-01	1.29E-08
1.22E+09	4.22E+01	-3.60E+01	1.33E-08
1.23E+09	4.24E+01	-7.19E+01	1.32E-08
1.24E+09	4.24E+01	-1.08E+02	1.37E-08
1.25E+09	4.24E+01	-1.45E+02	1.34E-08
1.25E+09	4.23E+01	1.80E+02	1.32E-08
1.26E+09	4.20E+01	1.46E+02	1.30E-08
1.27E+09	4.22E+01	1.11E+02	1.27E-08
1.28E+09	4.22E+01	7.76E+01	1.23E-08
1.28E+09	4.24E+01	4.30E+01	1.27E-08
1.29E+09	4.27E+01	9.43E+00	1.26E-08
1.30E+09	4.29E+01	-2.68E+01	1.30E-08
1.31E+09	4.32E+01	-6.28E+01	1.37E-08
1.31E+09	4.35E+01	-9.96E+01	1.33E-08
1.32E+09	4.36E+01	-1.36E+02	1.34E-08
1.33E+09	4.38E+01	-1.74E+02	1.43E-08
1.34E+09	4.39E+01	1.49E+02	1.39E-08
1.34E+09	4.40E+01	1.12E+02	1.37E-08
1.35E+09	4.39E+01	7.43E+01	1.39E-08
1.36E+09	4.41E+01	3.66E+01	1.40E-08
1.37E+09	4.39E+01	-3.26E+00	1.48E-08
1.37E+09	4.37E+01	-4.11E+01	1.40E-08
1.38E+09	4.33E+01	-7.91E+01	1.43E-08
1.39E+09	4.31E+01	-1.15E+02	1.34E-08
1.40E+09	4.26E+01	-1.53E+02	1.36E-08
1.40E+09	4.24E+01	1.72E+02	1.32E-08
1.41E+09	4.21E+01	1.36E+02	1.34E-08
1.42E+09	4.19E+01	1.01E+02	1.30E-08
1.43E+09	4.15E+01	6.42E+01	1.33E-08
1.43E+09	4.14E+01	2.93E+01	1.32E-08
1.44E+09	4.10E+01	-7.62E+00	1.33E-08
1.45E+09	4.08E+01	-4.34E+01	1.34E-08
1.46E+09	4.03E+01	-7.91E+01	1.33E-08
1.46E+09	4.01E+01	-1.15E+02	1.30E-08
1.47E+09	3.95E+01	-1.50E+02	1.29E-08
1.48E+09	3.93E+01	1.77E+02	1.27E-08
1.49E+09	3.89E+01	1.42E+02	1.28E-08
1.49E+09	3.88E+01	1.09E+02	1.25E-08
1.50E+09	3.85E+01	7.42E+01	1.25E-08
