Freq. (Hz) 	 V/sqrt(Hz) 
3.55469e+08	0.0593941
3.60547e+08	0.0621113
3.65625e+08	0.0676341
3.70703e+08	0.0721425
3.75781e+08	0.0758216
3.80859e+08	0.0797284
3.85938e+08	0.0859258
3.91016e+08	0.0902558
3.96094e+08	0.0899018
4.01172e+08	0.0898466
4.0625e+08	0.0849759
4.11328e+08	0.0740163
4.16406e+08	0.0595694
4.21484e+08	0.050708
4.26562e+08	0.0462231
4.31641e+08	0.0447665
4.36719e+08	0.0464419
4.41797e+08	0.0467219
4.46875e+08	0.0468964
4.51953e+08	0.0481057
4.57031e+08	0.0495549
4.62109e+08	0.0551217
4.67188e+08	0.0592818
4.72266e+08	0.0582654
4.77344e+08	0.0593234
4.82422e+08	0.064539
4.875e+08	0.07158
4.92578e+08	0.0739094
4.97656e+08	0.076724
5.02734e+08	0.0800369
5.07812e+08	0.0817582
5.12891e+08	0.0781941
5.17969e+08	0.0686818
5.23047e+08	0.0605006
5.28125e+08	0.0528855
5.33203e+08	0.0454047
5.38281e+08	0.0397303
5.43359e+08	0.0367828
5.48438e+08	0.036205
5.53516e+08	0.0364621
5.58594e+08	0.0369642
5.63672e+08	0.0370469
5.6875e+08	0.0350083
5.73828e+08	0.0316068
5.78906e+08	0.0290553
5.83984e+08	0.0280617
5.89062e+08	0.0271727
5.94141e+08	0.0246214
5.99219e+08	0.0228189
6.04297e+08	0.025112
6.09375e+08	0.0269522
6.14453e+08	0.0279087
6.19531e+08	0.0277417
6.24609e+08	0.0268027
6.29688e+08	0.0261486
6.34766e+08	0.0253238
6.39844e+08	0.0235883
6.44922e+08	0.0205712
6.5e+08	0.0175009
6.55078e+08	0.0148804
6.60156e+08	0.012231
6.65234e+08	0.00891108
6.70312e+08	0.0063968
6.75391e+08	0.00472223
6.80469e+08	0.00363608
6.85547e+08	0.00267231
6.90625e+08	0.00200831
6.95703e+08	0.00158999
7.00781e+08	0.00126626
7.05859e+08	0.000922207
7.10938e+08	0.000706942
7.16016e+08	0.000672792
7.21094e+08	0.00065939
7.26172e+08	0.000621651
7.3125e+08	0.000592854
7.36328e+08	0.000663133
7.41406e+08	0.000761696
7.46484e+08	0.000836974
7.51562e+08	0.000811089
7.56641e+08	0.00078089
7.61719e+08	0.000805377
7.66797e+08	0.000795091
7.71875e+08	0.000759073
7.76953e+08	0.000776803
7.82031e+08	0.000774288
7.87109e+08	0.000733473
7.92188e+08	0.000672377
7.97266e+08	0.000652529
8.02344e+08	0.000630491
8.07422e+08	0.000601432
8.125e+08	0.000565478
8.17578e+08	0.000557192
8.22656e+08	0.00054566
8.27734e+08	0.000517622
8.32812e+08	0.000476283
8.37891e+08	0.000436592
8.42969e+08	0.000402226
8.48047e+08	0.00036162
8.53125e+08	0.000347554
8.58203e+08	0.000359469
8.63281e+08	0.000388674
8.68359e+08	0.000424051
8.73438e+08	0.000402923
8.78516e+08	0.00037094
8.83594e+08	0.000358646
8.88672e+08	0.000433251
8.9375e+08	0.000441112
8.98828e+08	0.000407533
9.03906e+08	0.000362929
9.08984e+08	0.000382045
9.14062e+08	0.000420507
9.19141e+08	0.00045068
9.24219e+08	0.000445907
9.29297e+08	0.000455956
9.34375e+08	0.000470642
9.39453e+08	0.000459012
9.44531e+08	0.000419566
9.49609e+08	0.000405845
9.54688e+08	0.000392092
9.59766e+08	0.000379328
9.64844e+08	0.000348667
9.69922e+08	0.000337644
9.75e+08	0.000327572
9.80078e+08	0.000332074
9.85156e+08	0.000322757
9.90234e+08	0.000313736
9.95312e+08	0.000305751
1.00039e+09	0.000262994
1.00547e+09	0.000256904
1.01055e+09	0.000251863
1.01562e+09	0.00024769
1.0207e+09	0.00023495
1.02578e+09	0.000231179
1.03086e+09	0.000227315
1.03594e+09	0.000222947
1.04102e+09	0.00023613
1.04609e+09	0.000231291
1.05117e+09	0.000226021
1.05625e+09	0.000220289
1.06133e+09	0.000195214
1.06641e+09	0.000188137
1.07148e+09	0.000180428
1.07656e+09	0.000172861
1.08164e+09	0.000165157
1.08672e+09	0.000159533
1.0918e+09	0.000155482
1.09688e+09	0.000153269
1.10195e+09	0.000150109
1.10703e+09	0.000150903
1.11211e+09	0.000152343
1.11719e+09	0.000153688
1.12227e+09	0.000151622
1.12734e+09	0.000150559
1.13242e+09	0.00014768
1.1375e+09	0.000142965
1.14258e+09	0.000134496
1.14766e+09	0.000127301
1.15273e+09	0.000119112
1.15781e+09	0.00011043
1.16289e+09	0.0001045
1.16797e+09	9.60981e-05
1.17305e+09	8.84589e-05
1.17812e+09	8.1967e-05
1.1832e+09	5.88177e-05
1.18828e+09	5.54432e-05
1.19336e+09	5.2632e-05
1.19844e+09	5.02239e-05
1.20352e+09	4.28579e-05
1.20859e+09	4.12843e-05
1.21367e+09	3.98774e-05
1.21875e+09	3.84141e-05
1.22383e+09	0
1.22891e+09	0
1.23398e+09	0
1.23906e+09	0
1.24414e+09	0
1.24922e+09	0
1.2543e+09	0
1.25938e+09	0
1.26445e+09	0
1.26953e+09	0
1.27461e+09	0
1.27969e+09	0
1.28477e+09	0
1.28984e+09	0
1.29492e+09	0
Freq. (Hz) 	 V/sqrt(Hz) 
0	0
5.07812e+06	0
1.01562e+07	0
1.52344e+07	0
2.03125e+07	0
2.53906e+07	0
3.04688e+07	0
3.55469e+07	0
4.0625e+07	0
4.57031e+07	0
5.07812e+07	0
5.58594e+07	0
6.09375e+07	0
6.60156e+07	0
7.10938e+07	0
7.61719e+07	0
8.125e+07	0
8.63281e+07	0
9.14062e+07	0
9.64844e+07	0
1.01562e+08	0
1.06641e+08	0
1.11719e+08	0
1.16797e+08	0
1.21875e+08	0
1.26953e+08	0
1.32031e+08	0
1.37109e+08	0
1.42188e+08	0
1.47266e+08	0
1.52344e+08	0
1.57422e+08	0
1.625e+08	0
1.67578e+08	0
1.72656e+08	0
1.77734e+08	0
1.82812e+08	0.00022038
1.87891e+08	0.000216968
1.92969e+08	0.000215799
1.98047e+08	0.000216785
2.03125e+08	0.000209107
2.08203e+08	0.000201866
2.13281e+08	0.00020961
2.18359e+08	0.000209912
2.23438e+08	0.000202944
2.28516e+08	0.000211683
2.33594e+08	0.000210666
2.38672e+08	0.000208237
2.4375e+08	0.000208798
2.48828e+08	0.000208553
2.53906e+08	0.000208606
2.58984e+08	0.000208576
2.64062e+08	0.000209668
2.69141e+08	0.000208758
2.74219e+08	0.000200399
2.79297e+08	0.000201564
2.84375e+08	0.000185523
2.89453e+08	0.000165148
2.94531e+08	0.000162258
2.99609e+08	0.000176215
3.04688e+08	0.000185978
3.09766e+08	0.000177035
3.14844e+08	0.000170576
3.19922e+08	0.000171445
3.25e+08	0.00016615
3.30078e+08	0.000159266
3.35156e+08	0.000160902
3.40234e+08	0.000183861
3.45312e+08	0.000191021
3.50391e+08	0.000187483
3.55469e+08	0.000176364
3.60547e+08	0.000171192
3.65625e+08	0.000171253
3.70703e+08	0.000171905
3.75781e+08	0.000173842
3.80859e+08	0.000184279
3.85938e+08	0.000206698
3.91016e+08	0.000232548
3.96094e+08	0.00025023
4.01172e+08	0.000275808
4.0625e+08	0.00029028
4.11328e+08	0.000288101
4.16406e+08	0.000264685
4.21484e+08	0.000259149
4.26562e+08	0.000269177
4.31641e+08	0.000292367
4.36719e+08	0.000327832
